0,0,1,9,9
1,0,3,11,9
1,1,2,9,1
2,0,1,9,1
3,0,4,8,1
3,1,4,7,9
3,2,4,1,5
4,0,3,13,1
4,2,3,1,6
4,3,3,11,9
4,1,5,0,5
5,0,8,12,10
5,1,6,0,5
5,2,9,8,0
5,3,7,11,0
6,0,7,6,0
6,1,8,0,5
6,2,5,6,10
6,3,9,0,1
7,0,6,16,2
7,1,7,0,6
7,2,8,0,5
7,3,5,6,8
7,4,9,16,1
8,0,7,6,10
8,1,7,16,6
8,2,6,7,10
8,3,9,9,10
9,0,5,12,0
9,1,6,0,5
9,2,10,1,5
9,3,7,0,6
10,0,11,0,5
11,0,12,0,5
11,2,13,0,5
11,3,14,0,5
12,0,25,0,5
12,2,16,0,5
12,3,15,0,5
25,0,10,1,5
25,2,17,0,5
16,0,17,0,5
16,2,18,0,5
15,0,18,0,5
15,1,21,0,5
15,3,10,1,5
15,4,26,0,5
13,0,15,0,5
13,2,26,0,5
17,0,10,1,5
17,2,19,0,5
18,0,19,0,5
18,0,20,0,5
14,0,26,0,5
14,2,27,0,5
14,3,28,0,5
26,0,10,1,5
26,2,23,0,5
21,0,23,0,5
21,2,10,1,5
19,0,10,1,5
19,2,20,0,5
20,0,22,0,5
20,2,23,0,5
20,3,21,0,5
22,0,10,1,5
22,2,24,0,5
27,0,32,0,5
27,2,30,0,5
28,0,30,0,5
28,2,29,0,5
29,0,31,0,5
29,2,10,1,5
30,0,32,0,5
30,2,31,0,5
31,0,33,0,5
31,2,10,1,5
23,0,24,0,5
23,2,32,16,2
24,0,10,1,5
24,2,34,0,5
32,0,23,11,10
32,2,33,0,5
33,0,34,0,5
33,2,35,0,15
33,3,10,1,5
34,0,10,1,5
34,2,35,0,15
